,SN,Freq,Level,Time,Freq Offset,Level Offset
75,76,1.074 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
959,960,1.958 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
154,155,1.153 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
492,493,1.491 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
717,718,1.716 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
679,680,1.678 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
604,605,1.603 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
924,925,1.923 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
799,800,1.798 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
363,364,1.362 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
935,936,1.934 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
282,283,1.281 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
82,83,1.081 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
931,932,1.93 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
172,173,1.171 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
455,456,1.454 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
721,722,1.72 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
416,417,1.415 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
961,962,1.96 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
757,758,1.756 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
849,850,1.848 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
55,56,1.054 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
750,751,1.749 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
144,145,1.143 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
413,414,1.412 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
702,703,1.701 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
635,636,1.634 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
473,474,1.472 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
398,399,1.397 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
176,177,1.175 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
664,665,1.663 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
866,867,1.865 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
45,46,1.044 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
797,798,1.796 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
955,956,1.954 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
287,288,1.286 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
776,777,1.775 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
89,90,1.088 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
538,539,1.537 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
353,354,1.352 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
585,586,1.584 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
387,388,1.386 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
440,441,1.439 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
138,139,1.137 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
884,885,1.883 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
833,834,1.832 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
186,187,1.185 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
869,870,1.868 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
